,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
57,2023-05-12,199.85610544727996,172.2701981581158,221.10071067951523,199.85610544727996,199.85610544727996,-3.140213277910009,-3.140213277910009,-3.140213277910009,-3.140213277910009,-3.140213277910009,-3.140213277910009,0.0,0.0,0.0,196.71589216936994
58,2023-05-15,202.74695898856183,173.42099979763475,221.8825671957952,202.74695898856183,202.74695898856183,-3.5589341468133773,-3.5589341468133773,-3.5589341468133773,-3.5589341468133773,-3.5589341468133773,-3.5589341468133773,0.0,0.0,0.0,199.18802484174844
59,2023-05-16,203.71057683565576,181.64767437576296,226.98009843920053,203.71057683565576,203.71057683565576,-0.7246710724106865,-0.7246710724106865,-0.7246710724106865,-0.7246710724106865,-0.7246710724106865,-0.7246710724106865,0.0,0.0,0.0,202.98590576324506
60,2023-05-17,204.6741946827497,178.84951649981912,226.98370017462634,204.6741946827497,204.6741946827497,-1.680283251983265,-1.680283251983265,-1.680283251983265,-1.680283251983265,-1.680283251983265,-1.680283251983265,0.0,0.0,0.0,202.99391143076642
61,2023-05-18,205.63781252984361,176.37879019947806,224.95189012867465,205.63781252984361,205.63781252984361,-3.339951594051348,-3.339951594051348,-3.339951594051348,-3.339951594051348,-3.339951594051348,-3.339951594051348,0.0,0.0,0.0,202.29786093579227
62,2023-05-19,206.60143037693754,179.95038271710675,228.89853180144175,206.60143037693754,206.60143037693754,-3.1402132779020473,-3.1402132779020473,-3.1402132779020473,-3.1402132779020473,-3.1402132779020473,-3.1402132779020473,0.0,0.0,0.0,203.4612170990355
63,2023-05-22,209.49228391821936,183.23934305320165,229.75467175048243,209.49228391821936,209.49228391821936,-3.5589341468184807,-3.5589341468184807,-3.5589341468184807,-3.5589341468184807,-3.5589341468184807,-3.5589341468184807,0.0,0.0,0.0,205.93334977140088
64,2023-05-23,210.4559017653133,187.5863578767118,233.69145330096708,210.4559017653133,210.4559017653133,-0.7246710724092582,-0.7246710724092582,-0.7246710724092582,-0.7246710724092582,-0.7246710724092582,-0.7246710724092582,0.0,0.0,0.0,209.73123069290406
65,2023-05-24,211.41951961819154,187.20822137108573,232.9425323152986,211.41951961819154,211.41951961819154,-1.6802832519869522,-1.6802832519869522,-1.6802832519869522,-1.6802832519869522,-1.6802832519869522,-1.6802832519869522,0.0,0.0,0.0,209.73923636620458
66,2023-05-25,212.38313747106983,185.43773761709565,233.49753519142894,212.38313747106983,212.38313747106983,-3.339951594055688,-3.339951594055688,-3.339951594055688,-3.339951594055688,-3.339951594055688,-3.339951594055688,0.0,0.0,0.0,209.04318587701414
67,2023-05-26,213.34675532394806,185.74187777622677,237.3752766739769,213.34675532394806,213.34675532394806,-3.1402132779254432,-3.1402132779254432,-3.1402132779254432,-3.1402132779254432,-3.1402132779254432,-3.1402132779254432,0.0,0.0,0.0,210.2065420460226
68,2023-05-30,217.20122673546106,192.56059976880735,239.533206985618,217.20122673546106,217.20122673546106,-0.724671072419615,-0.724671072419615,-0.724671072419615,-0.724671072419615,-0.724671072419615,-0.724671072419615,0.0,0.0,0.0,216.47655566304144
69,2023-05-31,218.16484458833932,191.31344468104535,240.72601871504577,218.16484458833932,218.16484458833932,-1.6802832519802207,-1.6802832519802207,-1.6802832519802207,-1.6802832519802207,-1.6802832519802207,-1.6802832519802207,0.0,0.0,0.0,216.4845613363591
70,2023-06-01,219.12846244121758,192.90539673589006,238.85408484370873,219.12846244121758,219.12846244121758,-3.339951594052813,-3.339951594052813,-3.339951594052813,-3.339951594052813,-3.339951594052813,-3.339951594052813,0.0,0.0,0.0,215.78851084716476
71,2023-06-02,220.09208029409584,194.1425238109441,239.43979660770057,220.09208029409584,220.09208029409584,-3.140213277917481,-3.140213277917481,-3.140213277917481,-3.140213277917481,-3.140213277917481,-3.140213277917481,0.0,0.0,0.0,216.95186701617837
72,2023-06-05,222.98293385273058,196.15978605919292,243.53736351067775,222.98293385273058,222.98293385273058,-3.5589341468225157,-3.5589341468225157,-3.5589341468225157,-3.5589341468225157,-3.5589341468225157,-3.5589341468225157,0.0,0.0,0.0,219.42399970590807
73,2023-06-06,223.94655170764435,199.78465331154734,247.15950575557943,223.94655170764435,223.94655170764435,-0.7246710724181875,-0.7246710724181875,-0.7246710724181875,-0.7246710724181875,-0.7246710724181875,-0.7246710724181875,0.0,0.0,0.0,223.22188063522617
74,2023-06-07,224.9101695625581,199.84889297580762,247.056418323279,224.9101695625581,224.9101695625581,-1.6802832519808695,-1.6802832519808695,-1.6802832519808695,-1.6802832519808695,-1.6802832519808695,-1.6802832519808695,0.0,0.0,0.0,223.22988631057723
75,2023-06-08,225.87378741747185,199.01965637563896,246.9236584248633,225.87378741747185,225.87378741747185,-3.3399515940643685,-3.3399515940643685,-3.3399515940643685,-3.3399515940643685,-3.3399515940643685,-3.3399515940643685,0.0,0.0,0.0,222.5338358234075
76,2023-06-09,226.83740527238558,200.58529633190008,248.52421536862443,226.83740527238558,226.83740527238558,-3.1402132779095195,-3.1402132779095195,-3.1402132779095195,-3.1402132779095195,-3.1402132779095195,-3.1402132779095195,0.0,0.0,0.0,223.69719199447607
77,2023-06-12,229.7282588371269,202.1240190815684,250.81283546948245,229.7282588371269,229.7282588371269,-3.558934146821447,-3.558934146821447,-3.558934146821447,-3.558934146821447,-3.558934146821447,-3.558934146821447,0.0,0.0,0.0,226.16932469030544
78,2023-06-13,230.6918766920406,205.6054215499213,253.40022424552967,230.6918766920406,230.6918766920406,-0.72467107241502,-0.72467107241502,-0.72467107241502,-0.72467107241502,-0.72467107241502,-0.72467107241502,0.0,0.0,0.0,229.9672056196256
79,2023-06-14,231.65549454695437,206.2808697757434,252.72094408292375,231.65549454695437,231.65549454695437,-1.6802832519815167,-1.6802832519815167,-1.6802832519815167,-1.6802832519815167,-1.6802832519815167,-1.6802832519815167,0.0,0.0,0.0,229.97521129497287
80,2023-06-15,232.61911240186814,205.3839571055894,253.38065705140028,232.61911240186814,232.61911240186814,-3.3399515940614934,-3.3399515940614934,-3.3399515940614934,-3.3399515940614934,-3.3399515940614934,-3.3399515940614934,0.0,0.0,0.0,229.27916080780665
81,2023-06-16,233.58273020128897,204.9540218861447,255.49151236942538,233.58273020128897,233.58273020128897,-3.1402132779329164,-3.1402132779329164,-3.1402132779329164,-3.1402132779329164,-3.1402132779329164,-3.1402132779329164,0.0,0.0,0.0,230.44251692335604
82,2023-06-20,237.4372013989723,211.58325882460008,260.99053647976115,237.4372013989723,237.4372013989723,-0.7246710724118524,-0.7246710724118524,-0.7246710724118524,-0.7246710724118524,-0.7246710724118524,-0.7246710724118524,0.0,0.0,0.0,236.71253032656043
83,2023-06-21,238.40081919839312,213.32896510553516,260.98341266889827,238.40081919839312,238.40081919839312,-1.6802832519852042,-1.6802832519852042,-1.6802832519852042,-1.6802832519852042,-1.6802832519852042,-1.6802832519852042,0.0,0.0,0.0,236.72053594640792
84,2023-06-22,239.364436997814,212.7704389528769,258.9882866909039,239.364436997814,239.364436997814,-3.3399515940509765,-3.3399515940509765,-3.3399515940509765,-3.3399515940509765,-3.3399515940509765,-3.3399515940509765,0.0,0.0,0.0,236.02448540376304
85,2023-06-23,240.3280547972348,214.2418583538167,261.89614496580674,240.3280547972348,240.3280547972348,-3.140213277934918,-3.140213277934918,-3.140213277934918,-3.140213277934918,-3.140213277934918,-3.140213277934918,0.0,0.0,0.0,237.1878415192999
86,2023-06-26,243.21890819549728,216.87429216048056,265.2532032461688,243.21890819549728,243.21890819549728,-3.5589341468174576,-3.5589341468174576,-3.5589341468174576,-3.5589341468174576,-3.5589341468174576,-3.5589341468174576,0.0,0.0,0.0,239.65997404867983
87,2023-06-27,244.1825259949181,220.34203690061926,266.9400473786822,244.1825259949181,244.1825259949181,-0.7246710724239488,-0.7246710724239488,-0.7246710724239488,-0.7246710724239488,-0.7246710724239488,-0.7246710724239488,0.0,0.0,0.0,243.45785492249416
88,2023-06-28,245.146143794339,219.488899931545,268.427806447568,245.146143794339,245.146143794339,-1.6802832519888915,-1.6802832519888915,-1.6802832519888915,-1.6802832519888915,-1.6802832519888915,-1.6802832519888915,0.0,0.0,0.0,243.4658605423501
89,2023-06-29,246.02867182603222,219.08519882553037,265.5362653740512,246.02867182603222,246.02867182603222,-3.339951594055317,-3.339951594055317,-3.339951594055317,-3.339951594055317,-3.339951594055317,-3.339951594055317,0.0,0.0,0.0,242.6887202319769
90,2023-06-30,246.91119985772548,219.98188834633282,269.7958578349413,246.91119985772548,246.91119985772548,-3.140213277916992,-3.140213277916992,-3.140213277916992,-3.140213277916992,-3.140213277916992,-3.140213277916992,0.0,0.0,0.0,243.7709865798085
91,2023-07-03,249.5587839528052,221.74678552468313,270.95408422513873,249.5587839528052,249.5587839528052,-3.5589341468225615,-3.5589341468225615,-3.5589341468225615,-3.5589341468225615,-3.5589341468225615,-3.5589341468225615,0.0,0.0,0.0,245.99984980598262
92,2023-07-05,251.3238400161917,223.4407517337722,273.8153675213613,251.3238400161917,251.3238400161917,-1.6802832519895394,-1.6802832519895394,-1.6802832519895394,-1.6802832519895394,-1.6802832519895394,-1.6802832519895394,0.0,0.0,0.0,249.64355676420215
